Data,Comércio - farmácias e perfumarias - faturamento - índice (média 1998 = 100) - RMSP - INATIVA - - - Federação do Comércio do Estado de São Paulo- Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP) - FCESP12_FARM12,Comércio - farmácias e perfumarias - faturamento real - índice (média 1998 = 100) - RMSP - INATIVA - - - Federação do Comércio do Estado de São Paulo- Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP) - FCESP12_FARMR12,
1990.08,0.00120086769751126,57.020141900683,
1990.09,0.00123095778719867,51.08722412138,
1990.10,0.00158548362378795,57.5382646329975,
1990.11,0.00174235615024633,54.1317300626568,
1990.12,0.0024082319041772,63.1705825148955,
1991.01,0.00255614064689046,55.5282751037057,
1991.02,0.00253975659211974,45.7027471721931,
1991.03,0.0028636410303116,46.0427319633406,
1991.04,0.00327458529151781,50.147683871488,
1991.05,0.00336839128650958,48.0166140683846,
1991.06,0.00340166975079782,43.6109366993251,
1991.07,0.0041856421682303,47.7375819047241,
1991.08,0.0047194370992995,46.5498188688089,
1991.09,0.00490390965433513,41.8311426751782,
1991.10,0.00645375532859617,45.7885527746175,
1991.11,0.00751604414227494,42.5887336735078,
1991.12,0.0103731474915561,47.5128575727878,
1992.01,0.0128299097657497,46.6616950430791,
1992.02,0.0160833413988888,47.0513607940605,
1992.03,0.0195260225542842,47.0533996985392,
1992.04,0.0250750038436612,50.3837392227068,
1992.05,0.0299100546571631,48.1330368332314,
1992.06,0.0373304759762104,49.9745608916604,
1992.07,0.0479377183021937,52.6754887937101,
1992.08,0.0570843759236787,51.3559251328288,
1992.09,0.0680793665833221,49.14351439879,
1992.10,0.0949295627274826,54.7153429922261,
1992.11,0.110803832879731,52.1388916150364,
1992.12,0.159085773146582,59.7716569153609,
1993.01,0.162059292474861,46.7118271324066,
1993.02,0.196179093383094,45.2444298043895,
1993.03,0.303625697385143,55.024867142521,
1993.04,0.369916589558331,52.4763206302398,
1993.05,0.502513255705549,55.8277601434249,
1993.06,0.617251198431145,52.721466622059,
1993.07,0.816168214741769,53.3289679999047,
1993.08,1.0941726805785,53.7710308813886,
1993.09,1.48532782199229,53.7943877662295,
1993.10,2.16710377857124,58.6069231889194,
1993.11,2.91455123276548,58.1445945185077,
1993.12,4.4716382960202,65.1915420071138,
1994.01,5.60468677794931,57.8233218081783,
1994.02,7.49861999250241,55.1528855019232,
1994.03,11.9040021521876,61.3343508675021,
1994.04,17.6211961375501,63.6330970634897,
1994.05,26.7399558482629,67.0433027916617,
1994.06,38.7478185510972,65.8955530071574,
1994.07,39.4786190903904,62.840108110942,
1994.08,45.3855659313126,70.9233194236891,
1994.09,44.8366464123785,69.0096832577238,
1994.10,44.5253722985267,66.780929795304,
1994.11,45.3730729496209,66.1923402902426,
1994.12,56.1919683680854,80.5972333182614,
1995.01,51.3689235365865,72.4478331317514,
1995.02,47.5053338499925,66.3223560684872,
1995.03,54.7511372179877,75.2715376420347,
1995.04,49.9601465061464,67.055464337537,
1995.05,58.7292318788142,76.7752482974434,
1995.06,61.3493535822618,78.4279948432581,
1995.07,60.4827295484528,75.5374336359141,
1995.08,65.8523419891397,81.4373617998242,
1995.09,62.6269349076825,76.6893851505979,
1995.10,63.2887465080938,76.4222483217442,
1995.11,64.6255928841817,76.9059951509876,
1995.12,75.3831854546846,88.329841074462,
1996.01,71.0046175754588,82.0991491732212,
1996.02,64.1438926250821,73.4103040108015,
1996.03,68.0881100842536,77.6525306215419,
1996.04,72.8442441073065,82.0430225542559,
1996.05,73.8916677642254,82.2196354233871,
1996.06,70.0056522359048,76.979589024598,
1996.07,77.188375982177,83.9460518379673,
1996.08,77.9925164209904,84.4490173616297,
1996.09,79.8968464147356,86.381422505742,
1996.10,84.7298345439874,91.3326669055956,
1996.11,85.6436466104757,92.0232162893928,
1996.12,90.8852212235638,97.1984017430684,
1997.01,86.3022037469762,91.2206296648782,
1997.02,80.8047773276718,84.9849760000655,
1997.03,90.5087782160931,94.7079743058337,
1997.04,93.2119084422186,96.6856834783829,
